trade_num,cycle,timestamp,market_question,condition_id,category,winning_side,winning_price,losing_price,spread,certainty,confidence_score,detection_reason,best_ask,best_bid,asks_count,bids_count,tick_size,is_maker,order_method,order_price,order_size,entry_detail,fill_status,filled_shares,fill_price,tx_hash,gross_edge,fee,loser_cost,gas_cost,net_pnl,cumulative_pnl,daily_pnl,recycle_success,usdc_recovered,adapter,neg_risk,error
1,1,2026-09-08 15:20:59,Will the Fed decrease interest rates by 25 bps after the September 2026 meeting?,0xac02cbb049e46d6a3627c0fdf52fa554982a9025d45968207b362acb6ca4b830,finance,NO,0.9955,0.0045,0.9910000000000001,CertaintyLevel.WEAK,99.55,Price hint 0.9955 >= 0.99 (secondary only),,,0,0,0.01,True,GTC,0.99,100.0,maker bid at buy_price,partial,40.0,0.99,paper_tx_1788880859,0.40000000000000036,0.0,0.2,0.04,0.16000000000000034,0.16,0.16,True,40.0,NegRiskCtfCollateralAdapter,True,
2,1,2026-09-08 15:20:59,Counter-Strike: GamerLegion vs FURIA (BO3) - FISSURE PLAYGROUND Group B,0x42ec61e0269cd99507c19b4c2a2ecff6d342bc1cac858c03e46885c7c91117fb,other,NO,0.9995,0.0005,0.9990000000000001,CertaintyLevel.WEAK,99.95,Price hint 0.9995 >= 0.999 (secondary only),,,0,0,0.01,True,GTC,0.99,100.0,maker bid at buy_price,EXPIRED,0,0,,0,0,0,0,0,0.16,0.16,False,0,N/A,False,Expired
3,1,2026-09-08 15:20:59,Counter-Strike: G2 vs Astralis - Map 1 Winner,0x7af4dd71211a14d31f45d455a783fca12250c8ca8fc36c27ba49f8b3883f7d6d,other,NO,0.9995,0.0005,0.9990000000000001,CertaintyLevel.WEAK,99.95,Price hint 0.9995 >= 0.999 (secondary only),,,0,0,0.01,True,GTC,0.99,100.0,maker bid at buy_price,partial,40.0,0.99,paper_tx_1788880859,0.40000000000000036,0.0,0.2,0.04,0.16000000000000034,0.32,0.32,True,40.0,CtfCollateralAdapter,False,
4,1,2026-09-08 15:20:59,Will Glenn Youngkin win the 2028 US Presidential Election?,0xc4435df23facee8c4cd86090310c7835c2a0425646b2588b0a02e67fa42f444e,politics,NO,0.9985,0.0015,0.9970000000000001,CertaintyLevel.WEAK,99.85,Price hint 0.9985 >= 0.99 (secondary only),,,0,0,0.01,True,GTC,0.99,100.0,maker bid at buy_price,partial,40.0,0.99,paper_tx_1788880859,0.40000000000000036,0.0,0.2,0.04,0.16000000000000034,0.48,0.48,True,40.0,NegRiskCtfCollateralAdapter,True,
5,1,2026-09-08 15:20:59,Will Shakhtar Donetsk win the 2026-27 UEFA Champions League Championship?,0xefa17dee3af09f69f9ddf245b969aa4efbe7c71cdf06ee49d694408bc33e2ed2,sports,NO,0.9985,0.0015,0.9970000000000001,CertaintyLevel.WEAK,99.85,Price hint 0.9985 >= 0.99 (secondary only),,,0,0,0.01,True,GTC,0.99,100.0,maker bid at buy_price,EXPIRED,0,0,,0,0,0,0,0,0.48,0.48,False,0,N/A,True,Expired
6,2,2026-09-08 15:20:59,Map Handicap: G2 (-1.5) vs Astralis (+1.5),0xea8c4f47685af3351d6d9207e1cf6b0b3dc7ac8c68acb8755bd9a8927d120db8,other,NO,0.9995,0.0005,0.9990000000000001,CertaintyLevel.WEAK,99.95,Price hint 0.9995 >= 0.999 (secondary only),,,0,0,0.01,True,GTC,0.99,100.0,maker bid at buy_price,filled,100.0,0.99,paper_tx_1788880859,1.0000000000000009,0.0,0.5,0.1,0.4000000000000009,0.88,0.88,True,100.0,CtfCollateralAdapter,False,
7,2,2026-09-08 15:20:59,Will RB Leipzig win the 2026-27 UEFA Champions League Championship?,0x980a9758f2d181905130fbdd8de12c08b8ea89870c285a74b521fda7b8359061,sports,NO,0.9935,0.0065,0.9870000000000001,CertaintyLevel.WEAK,99.35,Price hint 0.9935 >= 0.99 (secondary only),,,0,0,0.01,True,GTC,0.99,100.0,maker bid at buy_price,filled,100.0,0.99,paper_tx_1788880859,1.0000000000000009,0.0,0.5,0.1,0.4000000000000009,1.28,1.28,True,100.0,NegRiskCtfCollateralAdapter,True,
8,2,2026-09-08 15:20:59,Will the Fed increase interest rates by 50+ bps after the September 2026 meeting?,0x2e4b58fc18dbffd74d5275d89fb076943f21992763c45dcadd81391b83bde13c,finance,NO,0.9955,0.0045,0.9910000000000001,CertaintyLevel.WEAK,99.55,Price hint 0.9955 >= 0.99 (secondary only),,,0,0,0.01,True,GTC,0.99,100.0,maker bid at buy_price,GHOST,0,0,,0,0,0,0,0,1.28,1.28,False,0,N/A,True,Ghost fill
9,2,2026-09-08 15:20:59,Will Eric Trump win the 2028 Republican presidential nomination?,0xca68152902c3581ab42feb04921b8b1cd3c4e80d06f255ae077259fca0bba15c,politics,NO,0.9985,0.0015,0.9970000000000001,CertaintyLevel.WEAK,99.85,Price hint 0.9985 >= 0.99 (secondary only),,,0,0,0.01,True,GTC,0.99,100.0,maker bid at buy_price,filled,100.0,0.99,paper_tx_1788880859,1.0000000000000009,0.0,0.5,0.1,0.4000000000000009,1.68,1.68,True,100.0,NegRiskCtfCollateralAdapter,True,
10,2,2026-09-08 15:20:59,Will the Fed decrease interest rates by 50+ bps after the September 2026 meeting?,0x5e464d85eb49f22d876f3ed6168a7db5e2288e9ae1eb91effd2758e994676f86,finance,NO,0.9985,0.0015,0.9970000000000001,CertaintyLevel.WEAK,99.85,Price hint 0.9985 >= 0.99 (secondary only),,,0,0,0.01,True,GTC,0.99,100.0,maker bid at buy_price,filled,100.0,0.99,paper_tx_1788880859,1.0000000000000009,0.0,0.5,0.1,0.4000000000000009,2.08,2.08,True,100.0,NegRiskCtfCollateralAdapter,True,
